ID;Consommation;Annee;Mois;Jour;Creneau;JourSem;NumSem;temp;cover;hum;dummyJF;vacances_zone_a;vacances_zone_b;vacances_zone_c;nb_zones
2016-01-14-06;55320772041;2016;1;14;6;jeudi;2;4,039473684;92,65625;84,18421053;0;0;0;0;0
2016-01-14-09;58606385015;2016;1;14;9;jeudi;2;4,565789474;90,5;86,34210526;0;0;0;0;0
2016-01-14-12;57195569724;2016;1;14;12;jeudi;2;6,844736842;84,83333333;80,02631579;0;0;0;0;0
2016-01-14-15;54883922900;2016;1;14;15;jeudi;2;7,05;90,32258065;77,18421053;0;0;0;0;0
2016-01-14-18;58750628534;2016;1;14;18;jeudi;2;5,518421053;82,5862069;82,13157895;0;0;0;0;0
2016-01-14-21;54039708929;2016;1;14;21;jeudi;2;4,559459459;62,5;81,78378378;0;0;0;0;0
2016-01-15-00;50866460261;2016;1;15;0;vendredi;2;3,873684211;63,125;79,76315789;0;0;0;0;0
2016-01-15-03;47924705963;2016;1;15;3;vendredi;2;3,160526316;61;79,31578947;0;0;0;0;0
2016-01-15-06;57884749019;2016;1;15;6;vendredi;2;2,657894737;65,03703704;79,84210526;0;0;0;0;0
2016-01-15-09;60538073164;2016;1;15;9;vendredi;2;3,35;69,23333333;77,94736842;0;0;0;0;0
2016-01-15-12;58200691694;2016;1;15;12;vendredi;2;5,573684211;73,66666667;66,81578947;0;0;0;0;0
2016-01-15-15;55709800516;2016;1;15;15;vendredi;2;5,3;72,90322581;65,23684211;0;0;0;0;0
2016-01-15-18;59964606709;2016;1;15;18;vendredi;2;3,023684211;72,4;74,34210526;0;0;0;0;0
2016-01-15-21;56097890227;2016;1;15;21;vendredi;2;2,544736842;69,6;75,47368421;0;0;0;0;0
2016-01-16-00;51916183849;2016;1;16;0;samedi;2;1,784210526;74,04761905;79,31578947;0;0;0;0;0
2016-01-16-03;47248187358;2016;1;16;3;samedi;2;1,415789474;76,66666667;80,05263158;0;0;0;0;0
2016-01-16-06;50710216575;2016;1;16;6;samedi;2;1,163157895;73,92857143;80,73684211;0;0;0;0;0
2016-01-16-09;55146647367;2016;1;16;9;samedi;2;2,107894737;56,60714286;78,86842105;0;0;0;0;0
2016-01-16-12;53846570928;2016;1;16;12;samedi;2;5,057894737;68,27586207;67,42105263;0;0;0;0;0
2016-01-16-15;50207759154;2016;1;16;15;samedi;2;5,597368421;73,28125;62,84210526;0;0;0;0;0
2016-01-16-18;55571133685;2016;1;16;18;samedi;2;2,860526316;68,14814815;73,73684211;0;0;0;0;0
2016-01-16-21;53754907349;2016;1;16;21;samedi;2;1,807894737;70;77,02631579;0;0;0;0;0
2016-01-17-00;51675505780;2016;1;17;0;dimanche;3;1,394736842;72,75;77,60526316;0;0;0;0;0
2016-01-17-03;46362899936;2016;1;17;3;dimanche;3;1,089473684;77,84;79,34210526;0;0;0;0;0
2016-01-17-06;47421696953;2016;1;17;6;dimanche;3;0,786842105;76,28125;81,5;0;0;0;0;0
2016-01-17-09;52064992814;2016;1;17;9;dimanche;3;1,992105263;79,86206897;78,84210526;0;0;0;0;0
2016-01-17-12;51777296510;2016;1;17;12;dimanche;3;5,210526316;75,42857143;66,63157895;0;0;0;0;0
2016-01-17-15;48004811012;2016;1;17;15;dimanche;3;5,323684211;75,66666667;64,18421053;0;0;0;0;0
2016-01-17-18;55099096655;2016;1;17;18;dimanche;3;2,707894737;84,6;75,28947368;0;0;0;0;0
2016-01-17-21;53673867026;2016;1;17;21;dimanche;3;1,247368421;73,33333333;79,65789474;0;0;0;0;0
2016-01-18-00;52366533676;2016;1;18;0;lundi;3;0,423684211;92,14285714;80,26315789;0;0;0;0;0
2016-01-18-03;49631468118;2016;1;18;3;lundi;3;0,147368421;96,64;80,42105263;0;0;0;0;0
2016-01-18-06;59448241190;2016;1;18;6;lundi;3;0,123684211;92,75757576;80,97368421;0;0;0;0;0
2016-01-18-09;64008661534;2016;1;18;9;lundi;3;1,157894737;94,39393939;79,81578947;0;0;0;0;0
